asvs_requirement,chapter,level,disposition,remediation,current_gap
v5.0.0-8.4.2,Authorization,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Administrative routes have server-side role checks, but ASVS L3 continuous identity verification, device posture assessment, and contextual risk analysis are not implemented."
v5.0.0-6.3.3,Authentication,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman currently authenticates interactive users by direct LDAP password bind and does not enforce or verify a second authentication factor.
v5.0.0-6.3.5,Authentication,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Authentication attempts are logged/audited, but Journeyman does not currently notify affected users of suspicious authentication attempts."
v5.0.0-6.3.8,Authentication,3,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"LDAP failures are generic, but the fallback path is distinguishable and equivalent response timing/user-enumeration resistance has not been demonstrated."
v5.0.0-7.4.5,Session Management,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman administrators do not currently have a facility to terminate active browser sessions for one user or all users.
v5.0.0-7.5.2,Session Management,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,Users cannot currently view their active Journeyman sessions or re-authenticate to terminate individual/all sessions.
v5.0.0-7.5.3,Session Management,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman does not currently require step-up re-authentication before highly sensitive operations; Package confirmations are not authentication factors.
v5.0.0-11.1.3,Cryptography,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman has source-review tests for selected primitives but does not yet employ a complete cryptographic discovery mechanism across application and deployment dependencies.
v5.0.0-11.1.4,Cryptography,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"The inventory records review triggers, but a detailed post-quantum migration plan and replacement schedule are not yet defined."
v5.0.0-11.7.1,Cryptography,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman does not require or enforce full-memory encryption for sensitive data while it is in use.
v5.0.0-11.7.2,Cryptography,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Secrets are decrypted only when needed by reveal/execution paths, but complete measurable plaintext-lifetime minimization and immediate re-encryption guarantees are not yet implemented."
v5.0.0-14.2.5,Data Protection,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Journeyman does not intentionally provide a shared application cache, but end-to-end Web Cache Deception hardening across deployment reverse proxies has not yet been verified."
v5.0.0-14.3.3,Data Protection,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Journeyman does not use localStorage/sessionStorage/IndexedDB, but the signed Flask client-side session cookie can contain authenticated identity/session metadata and is integrity-protected rather than encrypted."
v5.0.0-16.2.2,Security Logging and Error Handling,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Audit timestamps are generated in UTC, but Journeyman does not currently verify time synchronization across the application host, database, runners and external systems."
v5.0.0-16.2.4,Security Logging and Error Handling,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"The database audit log is structured, but Journeyman does not yet mandate one common parseable format and processor for all operational logs."
v5.0.0-16.4.2,Security Logging and Error Handling,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Audit viewing is administrator-only and no mutation route exists, but database-level append-only or tamper-evident enforcement is not yet implemented."
v5.0.0-16.4.3,Security Logging and Error Handling,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman does not yet require secure forwarding of security logs to a logically separate SIEM/logging system.
v5.0.0-16.5.2,Security Logging and Error Handling,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Several dependency failures fail closed, but Journeyman does not yet provide or verify a uniform circuit-breaker/graceful-degradation policy for all external resources."
v5.0.0-13.1.2,Configuration,3,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,A complete documented maximum-concurrency and saturation/fallback model for every external service is not yet defined.
v5.0.0-13.2.1,Configuration,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Remote runners use per-runner authentication and database/external services require credentials, but Journeyman still supports long-lived service credentials rather than universally using short-term or certificate-based authentication."
v5.0.0-13.2.6,Configuration,3,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Backend-specific timeouts exist, but connection-pool limits, saturation behaviour and retry strategies are not yet uniformly documented and enforced for every separate service."
v5.0.0-13.3.1,Configuration,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman encrypts stored secrets with an external file-backed key but does not yet integrate with a dedicated secrets-management solution or hardware-backed vault/HSM.
v5.0.0-13.3.3,Configuration,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Cryptographic operations currently execute in the Journeyman process using file-backed key material rather than an isolated HSM/security module.
v5.0.0-13.4.7,Configuration,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,A strict reverse-proxy allowlist of servable file extensions is not currently enforced by Journeyman deployment configuration.
v5.0.0-12.1.4,Secure Communication,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,The managed Nginx configuration does not currently enforce/configure certificate revocation checking such as OCSP stapling.
v5.0.0-12.1.5,Secure Communication,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Encrypted Client Hello is not currently configured by the Journeyman-managed TLS endpoint.
v5.0.0-12.3.3,Secure Communication,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Remote runner HTTP traffic is HTTPS-only, but the local Nginx-to-Gunicorn hop uses HTTP over loopback and not every configurable internal HTTP endpoint is application-enforced as HTTPS."
v5.0.0-12.3.5,Secure Communication,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Remote runners use high-entropy runner secrets and dispatch tokens over TLS, but Journeyman does not currently use replay-resistant public-key mutual authentication such as mTLS between services."
v5.0.0-15.2.4,Secure Coding and Architecture,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,A transitive dependency lock/SBOM with cryptographic provenance and dependency-confusion prevention is not yet enforced by Journeyman release tooling.
v5.0.0-15.2.5,Secure Coding and Architecture,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Dangerous functionality has authorization and OS/service boundaries but is not generally sandboxed or separately containerized as required for this Level-3 control.
v5.0.0-15.3.5,Secure Coding and Architecture,2,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,"Security-sensitive inputs frequently perform explicit conversion/range checks, but Python is dynamically typed and universal strict type/comparator verification has not been demonstrated."
v5.0.0-15.4.1,Secure Coding and Architecture,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Journeyman coordinates core execution state through the database, but a complete review proving thread safety for every shared in-process/file resource has not been completed."
v5.0.0-15.4.2,Secure Coding and Architecture,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Atomic conditional database claims are used for runner work, but universal TOCTOU safety across filesystem and database check/action pairs has not been demonstrated."
v5.0.0-15.4.4,Secure Coding and Architecture,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Gunicorn/process and runner concurrency limits exist, but Journeyman does not implement or verify a Level-3 fair thread scheduling policy."
v5.0.0-3.2.3,Web Frontend Security,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,No comprehensive DOM-clobbering/static client-JavaScript analysis is enforced yet; client code should be refactored and linted before claiming this Level-3 control.
v5.0.0-3.4.7,Web Frontend Security,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,CSP violation reporting is not configured.
v5.0.0-3.7.5,Web Frontend Security,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman documents required browser security mechanisms but does not perform browser capability detection and block/warn unsupported clients.
v5.0.0-4.1.5,API and Web Service,3,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,"Highly sensitive runner traffic uses TLS, runner authentication, dispatch tokens and AEAD execution-data envelopes, but Journeyman does not add a separate per-message digital signature to all sensitive API transactions."
v5.0.0-2.3.5,Validation and Business Logic,3,Pre-release desirable,Resolve the documented gap and add verification evidence before changing ASVS status.,Journeyman can perform high-impact operational changes but does not yet provide mandatory multi-user/four-eyes approval for designated high-value workflows.
v5.0.0-9.2.3,Self-contained Tokens,2,Accepted post-release,Resolve the documented gap and add verification evidence before changing ASVS status.,Flask signed session cookies do not contain an explicit audience claim. A deployment-specific secret and __Host-journeyman_session cookie scope reduce cross-context reuse but do not provide cryptographic audience validation.
