asvs_requirement,chapter,section,level,applicability,status,evidence,notes
v5.0.0-1.1.1,Encoding and Sanitization,Encoding and Sanitization Architecture,2,Applicable,Manually Verified,docs/security/ENCODING_SANITIZATION.md,Framework/structured parsers decode inputs at their ingress boundary and values are then semantically validated; Journeyman does not deliberately re-decode validated inputs.
v5.0.0-1.1.2,Encoding and Sanitization,Encoding and Sanitization Architecture,2,Applicable,Automated,tests/security/test_injection_controls.py::test_repository_name_is_html_escaped; tests/security/test_encoding_sanitization_controls.py::test_dynamic_javascript_template_values_use_tojson,Encoding is applied at the sink: Jinja autoescaping protects HTML and tojson is required for direct JavaScript template interpolation.
v5.0.0-1.2.1,Encoding and Sanitization,Injection Prevention,1,Applicable,Automated,tests/security/test_injection_controls.py::test_repository_name_is_html_escaped; tests/security/test_injection_controls.py::test_templates_do_not_disable_jinja_autoescaping,Jinja HTML rendering is regression-tested for escaping and explicit autoescape bypasses are prohibited.
v5.0.0-1.2.2,Encoding and Sanitization,Injection Prevention,1,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_login_redirect_rejects_external_destinations; tests/security/test_encoding_sanitization_controls.py::test_application_uses_framework_url_generation_and_safe_redirect_helper,"Internal URLs use Flask url_for and request-controlled redirects reject external, protocol-relative and script-scheme destinations."
v5.0.0-1.2.3,Encoding and Sanitization,Injection Prevention,1,Applicable,Automated,tests/security/test_encoding_sanitization_controls.py::test_dynamic_javascript_template_values_use_tojson,Direct Jinja interpolation into JavaScript assignments is regression-checked to use Jinja tojson encoding.
v5.0.0-1.2.4,Encoding and Sanitization,Injection Prevention,1,Applicable,Automated,tests/security/test_injection_controls.py::test_bobby_tables_repository_name_remains_data,Representative user-controlled database persistence is tested with a classic SQL-injection payload; current application persistence uses SQLAlchemy ORM/expression APIs. Raw textual SQL remains a review trigger.
v5.0.0-1.2.5,Encoding and Sanitization,Injection Prevention,1,Applicable,Automated,tests/security/test_injection_controls.py::test_application_does_not_enable_shell_interpretation_for_subprocesses; tests/test_environments.py::test_environment_rejects_shell_metacharacters_in_ansible_config_path,Subprocess shell interpretation is prohibited by regression test and a concrete shell-metacharacter path payload is rejected.
v5.0.0-1.2.6,Encoding and Sanitization,Injection Prevention,2,Applicable,Automated,tests/security/test_encoding_sanitization_controls.py::test_directory_dynamic_ldap_filters_escape_untrusted_values,Dynamic Active Directory filter values are escaped using ldap3 escape_filter_chars before interpolation into application-controlled LDAP filter syntax.
v5.0.0-1.2.7,Encoding and Sanitization,Injection Prevention,2,Not Applicable,Not Applicable,,Journeyman does not construct or execute XPath queries.
v5.0.0-1.2.8,Encoding and Sanitization,Injection Prevention,2,Not Applicable,Not Applicable,,Journeyman does not process LaTeX.
v5.0.0-1.2.9,Encoding and Sanitization,Injection Prevention,2,Not Applicable,Not Applicable,,Untrusted Package runtime values are matched as data against administrator-configured regular expressions; untrusted values are not interpolated into regular-expression syntax.
v5.0.0-1.2.10,Encoding and Sanitization,Injection Prevention,3,Not Applicable,Not Applicable,,Journeyman does not currently export user-controlled CSV or spreadsheet content.
v5.0.0-1.3.1,Encoding and Sanitization,Sanitization,1,Not Applicable,Not Applicable,,Journeyman does not accept WYSIWYG or other user-authored HTML content.
v5.0.0-1.3.2,Encoding and Sanitization,Sanitization,1,Applicable,Automated,tests/security/test_injection_controls.py::test_application_does_not_use_dynamic_eval_or_exec,"Application, runner and deployment Python are regression-checked to prohibit eval()/exec() dynamic code execution."
v5.0.0-1.3.3,Encoding and Sanitization,Sanitization,2,Applicable,Automated,tests/test_environments.py::test_environment_rejects_shell_metacharacters_in_ansible_config_path; tests/test_environments.py::test_environment_rejects_parent_traversal_in_ansible_config_path; tests/test_project_package_security.py::test_package_choice_rejects_value_not_offered_by_server,Dangerous contexts use semantic allowlists/bounds where required; representative path and Package-choice boundaries have hostile-input regression coverage.
